id,open,high,low,close
1,3358.289,3358.289,3357.345,3357.635
2,3357.625,3357.815,3357.298,3357.805
3,3357.815,3358.185,3357.265,3358.005
4,3358.005,3358.475,3357.955,3358.085
5,3358.095,3358.915,3358.085,3358.775
6,3359.015,3359.135,3358.105,3358.485
7,3358.515,3358.885,3358.135,3358.675
8,3358.675,3358.785,3358.125,3358.245
9,3358.235,3358.275,3357.855,3357.855
10,3357.745,3357.875,3357.395,3357.505
11,3357.495,3357.685,3357.265,3357.585
12,3357.595,3357.795,3357.115,3357.435
13,3357.435,3357.575,3357.135,3357.495
14,3357.395,3357.975,3357.305,3357.895
15,3357.925,3358.165,3357.375,3357.815
16,3357.755,3357.985,3356.945,3357.265
17,3357.275,3357.325,3356.495,3356.655
18,3356.655,3356.685,3355.735,3356.355
19,3356.315,3356.475,3355.938,3356.125
20,3356.155,3356.505,3355.875,3356.275
21,3356.315,3356.535,3355.735,3355.735
22,3355.705,3355.715,3355.395,3355.625
23,3355.625,3355.815,3355.535,3355.695
24,3355.695,3355.915,3355.495,3355.725
25,3355.605,3355.705,3355.395,3355.705
26,3355.685,3356.095,3355.555,3356.005
27,3356.015,3356.045,3355.435,3355.845
28,3355.815,3355.985,3355.525,3355.885
29,3355.865,3355.985,3355.545,3355.835
30,3355.845,3355.935,3355.615,3355.905
31,3355.925,3355.975,3355.585,3355.955
32,3355.975,3356.075,3355.705,3356.075
33,3356.085,3356.345,3356.055,3356.345
34,3356.345,3356.585,3356.175,3356.585
35,3356.585,3356.585,3356.075,3356.315
36,3356.305,3356.355,3356.105,3356.135
37,3356.165,3356.425,3356.095,3356.378
38,3356.375,3356.378,3356.015,3356.135
39,3356.145,3356.225,3356.075,3356.175
40,3356.125,3356.195,3356.065,3356.095
41,3356.115,3356.115,3356.005,3356.015
42,3356.015,3356.205,3356.005,3356.075
43,3356.075,3356.075,3355.365,3355.575
44,3355.585,3355.595,3354.945,3355.055
45,3355.085,3355.455,3355.075,3355.295
46,3355.465,3355.695,3355.085,3355.085
47,3355.125,3355.265,3354.255,3354.505
48,3354.505,3354.545,3354.285,3354.425
49,3354.405,3354.555,3354.145,3354.265
50,3354.255,3354.435,3354.035,3354.155
51,3354.225,3354.245,3353.315,3353.315
52,3353.325,3353.865,3353.325,3353.805
53,3353.795,3354.045,3353.345,3353.625
54,3353.685,3354.655,3353.395,3354.605
55,3354.585,3355.245,3354.525,3355.205
56,3355.205,3355.485,3354.615,3354.615
57,3354.755,3355.275,3354.755,3355.185
58,3355.205,3355.355,3354.995,3355.285
59,3355.285,3355.285,3354.835,3355.215
60,3355.205,3356.225,3355.115,3356.195
61,3356.065,3356.395,3356.045,3356.285
62,3356.285,3356.285,3355.955,3356.215
63,3356.145,3356.725,3356.145,3356.685
64,3356.685,3357.315,3356.685,3357.315
65,3357.255,3357.795,3357.115,3357.755
66,3357.755,3357.785,3357.265,3357.555
67,3357.549,3357.575,3357.045,3357.045
68,3357.045,3357.635,3357.045,3357.625
69,3357.615,3357.725,3357.455,3357.455
70,3357.455,3357.545,3357.125,3357.295
71,3357.375,3357.495,3357.155,3357.495
72,3357.485,3357.715,3357.425,3357.705
73,3357.705,3358.105,3357.655,3358.065
74,3358.285,3358.485,3358.275,3358.405
75,3358.425,3358.705,3357.135,3357.265
76,3357.245,3357.265,3355.975,3356.185
77,3356.135,3356.165,3354.935,3355.185
78,3355.185,3355.475,3354.185,3354.745
79,3354.785,3355.595,3354.065,3355.285
80,3355.285,3355.745,3354.665,3354.725
81,3362.948,3363.698,3362.048,3363.508
82,3365.555,3365.555,3363.058,3363.158
83,3363.548,3363.648,3361.915,3362.198
84,3362.878,3362.925,3361.038,3361.198
85,3361.158,3361.785,3359.345,3360.965
86,3361.169,3361.425,3358.698,3359.795
87,3359.815,3360.705,3359.418,3359.685
88,3359.695,3360.015,3359.115,3359.495
89,3359.475,3362.015,3359.315,3361.955
90,3362.005,3362.045,3360.155,3361.098
91,3360.935,3363.098,3360.475,3362.698
92,3362.598,3365.235,3362.598,3365.175
93,3365.185,3366.125,3363.845,3365.155
94,3365.085,3365.695,3363.865,3364.315
95,3364.315,3365.405,3362.935,3365.355
96,3365.325,3365.325,3363.598,3364.398
97,3364.398,3366.398,3364.185,3364.735
98,3364.885,3366.648,3364.775,3365.685
99,3365.625,3365.635,3362.415,3363.298
100,3363.298,3365.498,3363.298,3365.398
101,3364.905,3365.748,3363.745,3364.348
102,3364.348,3365.248,3364.148,3365.148
103,3364.605,3365.885,3364.605,3365.725
104,3365.755,3366.095,3365.448,3365.535
105,3365.545,3366.555,3365.435,3366.555
106,3366.595,3366.745,3365.685,3366.675
107,3366.665,3367.455,3366.345,3367.235
108,3367.335,3368.795,3367.165,3368.795
109,3368.795,3370.048,3368.585,3369.435
110,3369.425,3370.465,3369.165,3370.385
111,3370.305,3370.305,3364.668,3364.898
112,3364.898,3366.165,3363.958,3365.895
113,3365.905,3366.075,3364.248,3364.948
114,3364.848,3366.325,3364.008,3366.325
115,3366.255,3367.248,3365.505,3367.048
116,3366.925,3367.125,3363.978,3364.398
117,3364.018,3366.148,3364.018,3365.648
118,3365.648,3365.698,3364.568,3365.698
119,3365.698,3366.985,3365.498,3366.985
120,3366.925,3367.745,3366.585,3367.455
121,3367.215,3368.655,3367.145,3367.935
122,3367.955,3367.965,3366.505,3367.585
123,3367.565,3367.655,3367.205,3367.655
124,3367.675,3369.848,3367.665,3368.848
125,3368.948,3369.655,3368.648,3369.265
126,3369.205,3370.798,3369.005,3370.365
127,3370.385,3370.435,3368.415,3368.898
128,3368.898,3368.898,3368.115,3368.405
129,3368.375,3368.845,3368.195,3368.415
130,3368.375,3369.495,3368.375,3369.275
131,3369.195,3369.405,3368.635,3368.695
132,3368.765,3368.915,3368.465,3368.785
133,3368.855,3368.855,3368.515,3368.815
134,3368.865,3368.885,3368.695,3368.855
135,3368.905,3369.355,3368.605,3368.655
136,3368.685,3368.705,3368.215,3368.295
137,3368.315,3368.405,3368.105,3368.375
138,3368.455,3369.095,3368.325,3368.975
139,3368.948,3368.948,3368.555,3368.848
140,3368.848,3369.148,3368.335,3368.948
141,3368.645,3370.598,3368.645,3370.548
142,3370.255,3370.848,3368.958,3370.298
143,3370.198,3370.998,3369.648,3370.598
144,3370.318,3370.848,3369.975,3370.348
145,3370.348,3370.998,3370.035,3370.898
146,3370.898,3370.898,3369.698,3369.875
147,3369.698,3371.148,3369.598,3371.148
148,3371.428,3371.998,3370.955,3371.448
149,3371.248,3371.548,3370.398,3370.548
150,3370.265,3371.148,3370.185,3371.148
151,3371.168,3371.865,3370.525,3370.525
152,3370.525,3371.165,3370.025,3371.145
153,3371.155,3372.435,3370.995,3372.255
154,3372.285,3372.345,3371.915,3371.915
155,3371.935,3372.195,3371.435,3372.065
156,3372.065,3372.065,3371.305,3371.445
157,3371.465,3372.065,3371.335,3371.975
158,3371.985,3372.575,3371.725,3372.545
159,3372.445,3373.245,3372.435,3373.195
160,3373.205,3373.705,3371.245,3372.055
161,3372.095,3372.435,3372.035,3372.415
162,3372.425,3372.445,3371.255,3371.685
163,3371.685,3371.795,3369.648,3369.948
164,3369.948,3370.048,3366.098,3366.898
165,3366.898,3367.998,3366.545,3367.498
166,3367.498,3368.198,3366.798,3367.855
167,3367.875,3368.485,3366.825,3367.015
168,3367.005,3367.735,3366.995,3367.455
169,3367.445,3368.075,3367.335,3368.025
170,3368.035,3368.765,3367.805,3368.065
171,3368.075,3368.695,3366.898,3367.515
172,3367.515,3367.565,3366.955,3367.055
173,3366.985,3367.945,3366.975,3367.135
174,3367.085,3368.075,3367.075,3367.075
175,3367.215,3368.085,3366.365,3367.175
176,3367.205,3367.565,3366.895,3367.275
177,3367.265,3367.475,3366.665,3366.885
178,3366.915,3367.265,3366.485,3367.155
179,3367.235,3367.285,3366.535,3367.055
180,3367.165,3367.875,3366.055,3367.875
181,3367.875,3368.965,3367.835,3368.905
182,3368.895,3368.955,3367.265,3368.025
183,3368.115,3368.415,3367.465,3368.405
184,3368.415,3368.555,3367.925,3368.095
185,3367.865,3367.885,3367.375,3367.615
186,3367.298,3367.355,3366.125,3366.895
187,3366.975,3367.145,3366.495,3366.765
188,3366.755,3367.085,3366.565,3367.075
189,3367.085,3368.365,3367.085,3368.145
190,3368.185,3368.625,3368.048,3368.048
191,3368.048,3368.698,3367.655,3367.948
192,3367.948,3368.355,3367.775,3367.948
193,3368.048,3368.565,3367.948,3368.565
194,3368.515,3369.575,3368.495,3368.775
195,3368.755,3369.315,3368.185,3368.565
196,3368.595,3368.845,3367.705,3367.705
197,3367.698,3368.545,3367.665,3368.335
198,3368.335,3368.335,3366.995,3367.415
199,3367.455,3368.498,3367.415,3368.098
200,3368.098,3368.098,3367.445,3367.498
201,3367.498,3367.498,3364.485,3366.325
202,3366.365,3368.115,3366.195,3367.795
203,3367.775,3368.015,3366.775,3367.985
204,3368.005,3368.275,3366.525,3367.215
205,3367.255,3368.275,3365.285,3365.515
206,3365.265,3366.635,3364.745,3366.145
207,3366.165,3366.805,3365.865,3366.305
208,3366.315,3367.445,3366.025,3367.355
209,3367.675,3368.095,3366.105,3366.965
210,3366.905,3366.905,3365.135,3365.805
211,3365.785,3365.795,3364.965,3365.705
212,3365.585,3366.345,3364.865,3365.935
213,3366.055,3366.165,3365.555,3365.995
214,3366.025,3367.525,3365.925,3367.155
215,3367.195,3368.005,3367.145,3367.885
216,3367.915,3368.135,3367.455,3367.785
217,3367.745,3368.315,3367.475,3367.695
218,3367.675,3367.915,3367.245,3367.405
219,3367.425,3367.605,3366.735,3367.045
220,3366.955,3367.625,3366.955,3367.395
221,3367.405,3367.475,3366.698,3367.265
222,3367.235,3368.345,3367.185,3368.215
223,3368.195,3369.075,3368.085,3369.015
224,3368.975,3369.155,3367.898,3368.378
225,3368.368,3369.285,3368.368,3369.025
226,3369.028,3369.255,3368.685,3369.025
227,3369.045,3370.348,3368.845,3369.855
228,3369.835,3370.935,3369.505,3370.895
229,3370.935,3371.348,3370.785,3371.005
230,3371.025,3371.848,3370.245,3370.265
231,3370.355,3371.545,3370.355,3371.525
232,3371.485,3372.935,3371.425,3372.615
233,3372.705,3373.105,3371.785,3371.895
234,3371.875,3372.948,3371.775,3372.265
235,3372.295,3372.495,3370.895,3371.105
236,3371.025,3372.275,3370.875,3372.095
237,3372.085,3372.335,3371.885,3372.265
238,3372.265,3372.585,3371.415,3372.475
239,3372.455,3372.455,3371.565,3371.755
240,3371.625,3372.075,3371.455,3371.685
241,3371.655,3372.095,3371.485,3372.045
242,3372.035,3372.125,3371.665,3371.665
243,3371.645,3371.985,3371.285,3371.985
244,3372.025,3372.555,3372.025,3372.555
245,3372.515,3372.665,3371.755,3371.755
246,3371.565,3371.615,3370.955,3371.515
247,3371.495,3371.775,3370.525,3370.565
248,3370.675,3370.815,3369.335,3369.805
249,3369.805,3370.805,3369.215,3369.825
250,3369.855,3369.945,3369.085,3369.525
251,3369.505,3369.655,3367.395,3367.715
252,3367.625,3368.425,3367.045,3368.245
253,3368.335,3369.215,3368.255,3368.625
254,3368.635,3369.335,3368.435,3369.135
255,3369.265,3370.585,3369.175,3369.725
256,3369.525,3369.825,3369.185,3369.445
257,3369.415,3369.705,3368.835,3368.835
258,3368.645,3368.825,3368.185,3368.305
259,3368.385,3368.845,3368.245,3368.835
260,3368.485,3368.675,3366.948,3367.105
261,3367.015,3368.955,3365.965,3368.695
262,3368.775,3369.925,3368.145,3368.325
263,3368.275,3369.295,3366.605,3366.745
264,3366.745,3368.785,3365.615,3368.225
265,3368.195,3368.375,3367.105,3368.185
266,3368.095,3368.295,3366.055,3366.115
267,3366.095,3366.095,3364.905,3365.205
268,3365.135,3365.665,3364.525,3364.815
269,3364.795,3364.805,3363.335,3364.015
270,3363.975,3363.975,3362.455,3362.635
